训练配置:
模型: 2c3f_relu, 权重位宽: 4, 激活位宽: 4
数据集: MNIST, 批大小: 256, 训练轮数: 500
优化器: adam, 学习率: 0.001, 权重衰减: 0.0001
学习率调度器: step, 耐心值: 25, 最小学习率: 1e-07
二分类阈值: 0.5, 权重裁剪: True

Epoch  |     LR     | Train Loss | Train Acc  |  Val Loss  |  Val Acc   | Status
 464   | 0.0000001  |   0.0221   |   99.24   % |   0.0383   |   98.77   % | 
 465   | 0.0000001  |   0.0215   |   99.26   % |   0.0405   |   98.74   % | 
 466   | 0.0000001  |   0.0222   |   99.26   % |   0.0413   |   98.73   % | 
 467   | 0.0000001  |   0.0225   |   99.21   % |   0.0429   |   98.76   % | 
 468   | 0.0000001  |   0.0217   |   99.26   % |   0.0442   |   98.67   % | 
 469   | 0.0000001  |   0.0223   |   99.25   % |   0.0402   |   98.78   % | 
 470   | 0.0000001  |   0.0216   |   99.28   % |   0.0406   |   98.84   % | 
 471   | 0.0000001  |   0.0215   |   99.27   % |   0.0367   |   98.99   % | ★ Best
 472   | 0.0000001  |   0.0221   |   99.30   % |   0.0390   |   98.73   % | 
 473   | 0.0000001  |   0.0220   |   99.24   % |   0.0410   |   98.94   % | 
 474   | 0.0000001  |   0.0226   |   99.23   % |   0.0405   |   98.79   % | 
 475   | 0.0000001  |   0.0216   |   99.28   % |   0.0406   |   98.81   % | 
 476   | 0.0000001  |   0.0218   |   99.23   % |   0.0424   |   98.73   % | 
 477   | 0.0000001  |   0.0215   |   99.28   % |   0.0374   |   98.87   % | 
 478   | 0.0000001  |   0.0215   |   99.29   % |   0.0398   |   98.86   % | 
 479   | 0.0000001  |   0.0219   |   99.26   % |   0.0433   |   98.74   % | 
 480   | 0.0000001  |   0.0213   |   99.27   % |   0.0407   |   98.86   % | 
 481   | 0.0000001  |   0.0213   |   99.25   % |   0.0412   |   98.75   % | 
 482   | 0.0000001  |   0.0213   |   99.28   % |   0.0395   |   98.78   % | 
 483   | 0.0000001  |   0.0212   |   99.29   % |   0.0385   |   98.83   % | 
 484   | 0.0000001  |   0.0198   |   99.33   % |   0.0412   |   98.67   % | 
 485   | 0.0000001  |   0.0217   |   99.28   % |   0.0374   |   98.81   % | 
 486   | 0.0000001  |   0.0220   |   99.29   % |   0.0369   |   98.88   % | 
 487   | 0.0000001  |   0.0224   |   99.23   % |   0.0421   |   98.81   % | 
 488   | 0.0000001  |   0.0218   |   99.24   % |   0.0373   |   98.88   % | 
 489   | 0.0000001  |   0.0209   |   99.29   % |   0.0390   |   98.82   % | 
 490   | 0.0000001  |   0.0227   |   99.20   % |   0.0441   |   98.63   % | 
 491   | 0.0000001  |   0.0214   |   99.28   % |   0.0401   |   98.80   % | 
 492   | 0.0000001  |   0.0221   |   99.18   % |   0.0436   |   98.71   % | 
 493   | 0.0000001  |   0.0211   |   99.25   % |   0.0403   |   98.82   % | 
 494   | 0.0000001  |   0.0219   |   99.23   % |   0.0424   |   98.73   % | 
 495   | 0.0000001  |   0.0204   |   99.30   % |   0.0383   |   98.83   % | 
 496   | 0.0000001  |   0.0212   |   99.27   % |   0.0408   |   98.83   % | 
 497   | 0.0000001  |   0.0218   |   99.28   % |   0.0431   |   98.70   % | 
 498   | 0.0000001  |   0.0219   |   99.23   % |   0.0366   |   98.89   % | 
 499   | 0.0000001  |   0.0211   |   99.28   % |   0.0408   |   98.75   % | 
 500   | 0.0000000  |   0.0220   |   99.26   % |   0.0403   |   98.78   % | 

训练完成: 最佳验证准确率 98.99% (第 471 轮)
测试准确率: 98.91%
最佳模型保存至: ./model/best_2c3f_relu_w4_a4_e500.pth
最终模型保存至: ./model/2c3f_relu_w4_a4_e500.pth
