Training 2c3f with weight bit width 1 and activation bit width 4 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 0.9482, Train Acc: 70.27%, Val Loss: 0.7880, Val Acc: 74.03%
Epoch [2/500], LR: 0.010000, Train Loss: 0.3995, Train Acc: 87.57%, Val Loss: 0.4407, Val Acc: 86.02%
Epoch [3/500], LR: 0.010000, Train Loss: 0.2996, Train Acc: 90.58%, Val Loss: 0.5123, Val Acc: 84.82%
Epoch [4/500], LR: 0.010000, Train Loss: 0.2586, Train Acc: 91.86%, Val Loss: 0.4198, Val Acc: 86.08%
Epoch [5/500], LR: 0.010000, Train Loss: 0.2225, Train Acc: 92.94%, Val Loss: 0.2839, Val Acc: 91.41%
Epoch [6/500], LR: 0.010000, Train Loss: 0.2094, Train Acc: 93.45%, Val Loss: 0.2414, Val Acc: 92.53%
Epoch [7/500], LR: 0.010000, Train Loss: 0.1846, Train Acc: 94.14%, Val Loss: 0.2177, Val Acc: 92.97%
Epoch [8/500], LR: 0.010000, Train Loss: 0.1780, Train Acc: 94.34%, Val Loss: 0.3516, Val Acc: 88.96%
Epoch [9/500], LR: 0.010000, Train Loss: 0.1686, Train Acc: 94.67%, Val Loss: 0.1562, Val Acc: 94.90%
Epoch [10/500], LR: 0.010000, Train Loss: 0.1661, Train Acc: 94.72%, Val Loss: 0.2806, Val Acc: 91.58%
Epoch [11/500], LR: 0.010000, Train Loss: 0.1602, Train Acc: 95.08%, Val Loss: 0.2229, Val Acc: 92.73%
Epoch [12/500], LR: 0.010000, Train Loss: 0.1516, Train Acc: 95.22%, Val Loss: 0.1567, Val Acc: 95.12%
Epoch [13/500], LR: 0.010000, Train Loss: 0.1489, Train Acc: 95.34%, Val Loss: 0.3054, Val Acc: 89.95%
Epoch [14/500], LR: 0.010000, Train Loss: 0.1441, Train Acc: 95.41%, Val Loss: 0.4916, Val Acc: 86.02%
Epoch [15/500], LR: 0.010000, Train Loss: 0.1475, Train Acc: 95.35%, Val Loss: 0.2100, Val Acc: 93.55%
Epoch [16/500], LR: 0.010000, Train Loss: 0.1405, Train Acc: 95.55%, Val Loss: 0.3691, Val Acc: 88.65%
