Training sfc with weight bit width 2 and activation bit width 4 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 1.3858, Train Acc: 53.80%, Val Loss: 0.9696, Val Acc: 68.30%
Epoch [2/500], LR: 0.010000, Train Loss: 1.0172, Train Acc: 66.02%, Val Loss: 0.6905, Val Acc: 76.53%
Epoch [3/500], LR: 0.010000, Train Loss: 0.8323, Train Acc: 71.92%, Val Loss: 0.5727, Val Acc: 80.33%
Epoch [4/500], LR: 0.010000, Train Loss: 0.7405, Train Acc: 74.96%, Val Loss: 0.4926, Val Acc: 82.86%
Epoch [5/500], LR: 0.010000, Train Loss: 0.6870, Train Acc: 76.63%, Val Loss: 0.4798, Val Acc: 84.13%
Epoch [6/500], LR: 0.010000, Train Loss: 0.6445, Train Acc: 78.22%, Val Loss: 0.4473, Val Acc: 85.06%
Epoch [7/500], LR: 0.010000, Train Loss: 0.6161, Train Acc: 79.35%, Val Loss: 0.4152, Val Acc: 86.34%
Epoch [8/500], LR: 0.010000, Train Loss: 0.5892, Train Acc: 80.27%, Val Loss: 0.3711, Val Acc: 87.89%
Epoch [9/500], LR: 0.010000, Train Loss: 0.5684, Train Acc: 81.05%, Val Loss: 0.3567, Val Acc: 88.27%
Epoch [10/500], LR: 0.010000, Train Loss: 0.5513, Train Acc: 81.69%, Val Loss: 0.3525, Val Acc: 88.47%
Epoch [11/500], LR: 0.010000, Train Loss: 0.5331, Train Acc: 82.27%, Val Loss: 0.3458, Val Acc: 88.46%
Epoch [12/500], LR: 0.010000, Train Loss: 0.5174, Train Acc: 82.91%, Val Loss: 0.3172, Val Acc: 89.70%
Epoch [13/500], LR: 0.010000, Train Loss: 0.5122, Train Acc: 82.97%, Val Loss: 0.3126, Val Acc: 89.68%
Epoch [14/500], LR: 0.010000, Train Loss: 0.5042, Train Acc: 83.37%, Val Loss: 0.2942, Val Acc: 90.43%
Epoch [15/500], LR: 0.010000, Train Loss: 0.4916, Train Acc: 83.72%, Val Loss: 0.3018, Val Acc: 90.17%
Epoch [16/500], LR: 0.010000, Train Loss: 0.4847, Train Acc: 84.26%, Val Loss: 0.2926, Val Acc: 90.78%
Epoch [17/500], LR: 0.010000, Train Loss: 0.4730, Train Acc: 84.52%, Val Loss: 0.2846, Val Acc: 90.83%
Epoch [18/500], LR: 0.010000, Train Loss: 0.4679, Train Acc: 84.67%, Val Loss: 0.2805, Val Acc: 91.08%
Epoch [19/500], LR: 0.010000, Train Loss: 0.4627, Train Acc: 84.83%, Val Loss: 0.2816, Val Acc: 90.80%
Epoch [20/500], LR: 0.010000, Train Loss: 0.4581, Train Acc: 84.87%, Val Loss: 0.2823, Val Acc: 91.03%
Epoch [21/500], LR: 0.010000, Train Loss: 0.4508, Train Acc: 85.01%, Val Loss: 0.2660, Val Acc: 91.41%
