Training 2c3f_relu with weight bit width 4 and activation bit width 2 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 0.8811, Train Acc: 72.11%, Val Loss: 0.4337, Val Acc: 86.38%
Epoch [2/500], LR: 0.010000, Train Loss: 0.3395, Train Acc: 89.43%, Val Loss: 0.2534, Val Acc: 92.27%
Epoch [3/500], LR: 0.010000, Train Loss: 0.1911, Train Acc: 94.11%, Val Loss: 0.1618, Val Acc: 94.82%
Epoch [4/500], LR: 0.010000, Train Loss: 0.1510, Train Acc: 95.29%, Val Loss: 0.1520, Val Acc: 95.16%
Epoch [5/500], LR: 0.010000, Train Loss: 0.1278, Train Acc: 96.00%, Val Loss: 0.1329, Val Acc: 95.87%
Epoch [6/500], LR: 0.010000, Train Loss: 0.1195, Train Acc: 96.28%, Val Loss: 0.1121, Val Acc: 96.51%
Epoch [7/500], LR: 0.010000, Train Loss: 0.1096, Train Acc: 96.58%, Val Loss: 0.1048, Val Acc: 96.69%
Epoch [8/500], LR: 0.010000, Train Loss: 0.1028, Train Acc: 96.74%, Val Loss: 0.1022, Val Acc: 96.64%
Epoch [9/500], LR: 0.010000, Train Loss: 0.0970, Train Acc: 97.00%, Val Loss: 0.1006, Val Acc: 96.72%
Epoch [10/500], LR: 0.010000, Train Loss: 0.0928, Train Acc: 97.11%, Val Loss: 0.0945, Val Acc: 97.12%
Epoch [11/500], LR: 0.010000, Train Loss: 0.0908, Train Acc: 97.15%, Val Loss: 0.0823, Val Acc: 97.28%
Epoch [12/500], LR: 0.010000, Train Loss: 0.0859, Train Acc: 97.27%, Val Loss: 0.0997, Val Acc: 96.93%
Epoch [13/500], LR: 0.010000, Train Loss: 0.0849, Train Acc: 97.31%, Val Loss: 0.0988, Val Acc: 96.95%
Epoch [14/500], LR: 0.010000, Train Loss: 0.0823, Train Acc: 97.34%, Val Loss: 0.0831, Val Acc: 97.34%
Epoch [15/500], LR: 0.010000, Train Loss: 0.0783, Train Acc: 97.45%, Val Loss: 0.0805, Val Acc: 97.44%
Epoch [16/500], LR: 0.010000, Train Loss: 0.0815, Train Acc: 97.42%, Val Loss: 0.0792, Val Acc: 97.53%
Epoch [17/500], LR: 0.010000, Train Loss: 0.0768, Train Acc: 97.47%, Val Loss: 0.0736, Val Acc: 97.78%
Epoch [18/500], LR: 0.010000, Train Loss: 0.0773, Train Acc: 97.53%, Val Loss: 0.0800, Val Acc: 97.48%
Epoch [19/500], LR: 0.010000, Train Loss: 0.0744, Train Acc: 97.62%, Val Loss: 0.0746, Val Acc: 97.60%
Epoch [20/500], LR: 0.010000, Train Loss: 0.0732, Train Acc: 97.63%, Val Loss: 0.0765, Val Acc: 97.64%
Epoch [21/500], LR: 0.010000, Train Loss: 0.0700, Train Acc: 97.74%, Val Loss: 0.0695, Val Acc: 97.87%
Epoch [22/500], LR: 0.010000, Train Loss: 0.0707, Train Acc: 97.70%, Val Loss: 0.0724, Val Acc: 97.72%
Epoch [23/500], LR: 0.010000, Train Loss: 0.0686, Train Acc: 97.77%, Val Loss: 0.0711, Val Acc: 97.72%
Epoch [24/500], LR: 0.010000, Train Loss: 0.0679, Train Acc: 97.75%, Val Loss: 0.0851, Val Acc: 97.29%
