Training lfc with weight bit width 2 and activation bit width 8 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 1.2285, Train Acc: 59.99%, Val Loss: 0.7926, Val Acc: 74.64%
Epoch [2/500], LR: 0.010000, Train Loss: 0.7769, Train Acc: 74.22%, Val Loss: 0.4618, Val Acc: 84.99%
Epoch [3/500], LR: 0.010000, Train Loss: 0.5741, Train Acc: 80.85%, Val Loss: 0.3539, Val Acc: 88.06%
Epoch [4/500], LR: 0.010000, Train Loss: 0.4743, Train Acc: 84.31%, Val Loss: 0.2801, Val Acc: 91.03%
Epoch [5/500], LR: 0.010000, Train Loss: 0.4256, Train Acc: 86.04%, Val Loss: 0.2606, Val Acc: 91.78%
Epoch [6/500], LR: 0.010000, Train Loss: 0.3861, Train Acc: 87.41%, Val Loss: 0.2359, Val Acc: 92.53%
Epoch [7/500], LR: 0.010000, Train Loss: 0.3665, Train Acc: 88.08%, Val Loss: 0.2100, Val Acc: 93.23%
Epoch [8/500], LR: 0.010000, Train Loss: 0.3418, Train Acc: 88.88%, Val Loss: 0.2037, Val Acc: 93.60%
Epoch [9/500], LR: 0.010000, Train Loss: 0.3283, Train Acc: 89.38%, Val Loss: 0.1925, Val Acc: 93.72%
Epoch [10/500], LR: 0.010000, Train Loss: 0.3174, Train Acc: 89.61%, Val Loss: 0.1815, Val Acc: 93.83%
Epoch [11/500], LR: 0.010000, Train Loss: 0.3111, Train Acc: 89.82%, Val Loss: 0.1690, Val Acc: 94.57%
Epoch [12/500], LR: 0.010000, Train Loss: 0.2966, Train Acc: 90.34%, Val Loss: 0.1738, Val Acc: 94.29%
Epoch [13/500], LR: 0.010000, Train Loss: 0.2845, Train Acc: 90.70%, Val Loss: 0.1601, Val Acc: 94.96%
Epoch [14/500], LR: 0.010000, Train Loss: 0.2760, Train Acc: 91.08%, Val Loss: 0.1662, Val Acc: 94.74%
Epoch [15/500], LR: 0.010000, Train Loss: 0.2746, Train Acc: 91.09%, Val Loss: 0.1628, Val Acc: 94.71%
Epoch [16/500], LR: 0.010000, Train Loss: 0.2677, Train Acc: 91.34%, Val Loss: 0.1514, Val Acc: 95.17%
Epoch [17/500], LR: 0.010000, Train Loss: 0.2622, Train Acc: 91.54%, Val Loss: 0.1458, Val Acc: 95.35%
Epoch [18/500], LR: 0.010000, Train Loss: 0.2549, Train Acc: 91.70%, Val Loss: 0.1490, Val Acc: 95.18%
Epoch [19/500], LR: 0.010000, Train Loss: 0.2555, Train Acc: 91.61%, Val Loss: 0.1446, Val Acc: 95.59%
Epoch [20/500], LR: 0.010000, Train Loss: 0.2492, Train Acc: 91.90%, Val Loss: 0.1423, Val Acc: 95.44%
Epoch [21/500], LR: 0.010000, Train Loss: 0.2529, Train Acc: 91.78%, Val Loss: 0.1312, Val Acc: 95.74%
Epoch [22/500], LR: 0.010000, Train Loss: 0.2415, Train Acc: 92.14%, Val Loss: 0.1269, Val Acc: 95.88%
Epoch [23/500], LR: 0.010000, Train Loss: 0.2442, Train Acc: 92.15%, Val Loss: 0.1354, Val Acc: 95.54%
Epoch [24/500], LR: 0.010000, Train Loss: 0.2391, Train Acc: 92.25%, Val Loss: 0.1262, Val Acc: 95.67%
Epoch [25/500], LR: 0.010000, Train Loss: 0.2357, Train Acc: 92.49%, Val Loss: 0.1218, Val Acc: 96.03%
Epoch [26/500], LR: 0.010000, Train Loss: 0.2367, Train Acc: 92.28%, Val Loss: 0.1353, Val Acc: 95.71%
Epoch [27/500], LR: 0.010000, Train Loss: 0.2322, Train Acc: 92.43%, Val Loss: 0.1297, Val Acc: 95.76%
Epoch [28/500], LR: 0.010000, Train Loss: 0.2305, Train Acc: 92.44%, Val Loss: 0.1282, Val Acc: 95.78%
Epoch [29/500], LR: 0.010000, Train Loss: 0.2299, Train Acc: 92.48%, Val Loss: 0.1296, Val Acc: 95.67%
Epoch [30/500], LR: 0.010000, Train Loss: 0.2249, Train Acc: 92.72%, Val Loss: 0.1254, Val Acc: 95.89%
Epoch [31/500], LR: 0.010000, Train Loss: 0.2245, Train Acc: 92.77%, Val Loss: 0.1276, Val Acc: 95.80%
Epoch [32/500], LR: 0.010000, Train Loss: 0.2169, Train Acc: 93.03%, Val Loss: 0.1209, Val Acc: 96.08%
Epoch [33/500], LR: 0.010000, Train Loss: 0.2202, Train Acc: 92.90%, Val Loss: 0.1253, Val Acc: 96.05%
Epoch [34/500], LR: 0.010000, Train Loss: 0.2189, Train Acc: 92.86%, Val Loss: 0.1271, Val Acc: 95.90%
