Training 2c3f with weight bit width 2 and activation bit width 4 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 0.8649, Train Acc: 73.47%, Val Loss: 0.4874, Val Acc: 84.94%
Epoch [2/500], LR: 0.010000, Train Loss: 0.3405, Train Acc: 89.67%, Val Loss: 0.6649, Val Acc: 78.52%
Epoch [3/500], LR: 0.010000, Train Loss: 0.2471, Train Acc: 92.37%, Val Loss: 0.3922, Val Acc: 87.79%
Epoch [4/500], LR: 0.010000, Train Loss: 0.2106, Train Acc: 93.44%, Val Loss: 0.2813, Val Acc: 90.90%
Epoch [5/500], LR: 0.010000, Train Loss: 0.1805, Train Acc: 94.36%, Val Loss: 0.3657, Val Acc: 88.24%
Epoch [6/500], LR: 0.010000, Train Loss: 0.1677, Train Acc: 94.76%, Val Loss: 0.3027, Val Acc: 90.83%
Epoch [7/500], LR: 0.010000, Train Loss: 0.1570, Train Acc: 95.04%, Val Loss: 0.7348, Val Acc: 74.98%
Epoch [8/500], LR: 0.010000, Train Loss: 0.1461, Train Acc: 95.45%, Val Loss: 0.2350, Val Acc: 92.55%
Epoch [9/500], LR: 0.010000, Train Loss: 0.1418, Train Acc: 95.58%, Val Loss: 0.8703, Val Acc: 73.96%
Epoch [10/500], LR: 0.010000, Train Loss: 0.1362, Train Acc: 95.78%, Val Loss: 0.2986, Val Acc: 90.34%
Epoch [11/500], LR: 0.010000, Train Loss: 0.1314, Train Acc: 95.88%, Val Loss: 0.1618, Val Acc: 95.05%
Epoch [12/500], LR: 0.010000, Train Loss: 0.1241, Train Acc: 96.11%, Val Loss: 0.1496, Val Acc: 95.15%
Epoch [13/500], LR: 0.010000, Train Loss: 0.1219, Train Acc: 96.17%, Val Loss: 0.2892, Val Acc: 91.33%
Epoch [14/500], LR: 0.010000, Train Loss: 0.1173, Train Acc: 96.21%, Val Loss: 0.3147, Val Acc: 90.86%
Epoch [15/500], LR: 0.010000, Train Loss: 0.1168, Train Acc: 96.25%, Val Loss: 0.1523, Val Acc: 95.00%
Epoch [16/500], LR: 0.010000, Train Loss: 0.1105, Train Acc: 96.60%, Val Loss: 0.6067, Val Acc: 79.80%
Epoch [17/500], LR: 0.010000, Train Loss: 0.1083, Train Acc: 96.61%, Val Loss: 0.1335, Val Acc: 95.89%
Epoch [18/500], LR: 0.010000, Train Loss: 0.1058, Train Acc: 96.61%, Val Loss: 0.1739, Val Acc: 94.30%
Epoch [19/500], LR: 0.010000, Train Loss: 0.1062, Train Acc: 96.60%, Val Loss: 0.2808, Val Acc: 90.62%
Epoch [20/500], LR: 0.010000, Train Loss: 0.1035, Train Acc: 96.75%, Val Loss: 0.1798, Val Acc: 94.28%
Epoch [21/500], LR: 0.010000, Train Loss: 0.1013, Train Acc: 96.77%, Val Loss: 1.0447, Val Acc: 68.64%
Epoch [22/500], LR: 0.010000, Train Loss: 0.0985, Train Acc: 96.91%, Val Loss: 0.5971, Val Acc: 81.45%
Epoch [23/500], LR: 0.010000, Train Loss: 0.0972, Train Acc: 96.86%, Val Loss: 0.3760, Val Acc: 87.64%
Epoch [24/500], LR: 0.010000, Train Loss: 0.0934, Train Acc: 97.05%, Val Loss: 0.2449, Val Acc: 92.62%
Epoch [25/500], LR: 0.010000, Train Loss: 0.0926, Train Acc: 96.97%, Val Loss: 0.1193, Val Acc: 96.29%
Epoch [26/500], LR: 0.010000, Train Loss: 0.0860, Train Acc: 97.24%, Val Loss: 0.1439, Val Acc: 95.63%
Epoch [27/500], LR: 0.010000, Train Loss: 0.0871, Train Acc: 97.24%, Val Loss: 0.1154, Val Acc: 96.22%
Epoch [28/500], LR: 0.010000, Train Loss: 0.0888, Train Acc: 97.15%, Val Loss: 0.1586, Val Acc: 95.17%
Epoch [29/500], LR: 0.010000, Train Loss: 0.0881, Train Acc: 97.18%, Val Loss: 0.1217, Val Acc: 96.13%
Epoch [30/500], LR: 0.010000, Train Loss: 0.0868, Train Acc: 97.13%, Val Loss: 0.1761, Val Acc: 94.87%
Epoch [31/500], LR: 0.010000, Train Loss: 0.0863, Train Acc: 97.29%, Val Loss: 0.1751, Val Acc: 94.87%
Epoch [32/500], LR: 0.010000, Train Loss: 0.0851, Train Acc: 97.22%, Val Loss: 0.1295, Val Acc: 96.12%
Epoch [33/500], LR: 0.010000, Train Loss: 0.0829, Train Acc: 97.32%, Val Loss: 0.1450, Val Acc: 95.57%
Epoch [34/500], LR: 0.010000, Train Loss: 0.0845, Train Acc: 97.31%, Val Loss: 0.8610, Val Acc: 74.42%
Epoch [35/500], LR: 0.010000, Train Loss: 0.0792, Train Acc: 97.48%, Val Loss: 0.1935, Val Acc: 94.22%
Epoch [36/500], LR: 0.010000, Train Loss: 0.0851, Train Acc: 97.19%, Val Loss: 0.1589, Val Acc: 95.25%
Epoch [37/500], LR: 0.010000, Train Loss: 0.0846, Train Acc: 97.35%, Val Loss: 0.4227, Val Acc: 86.31%
Epoch [38/500], LR: 0.010000, Train Loss: 0.0819, Train Acc: 97.36%, Val Loss: 0.1220, Val Acc: 96.12%
Epoch [39/500], LR: 0.010000, Train Loss: 0.0808, Train Acc: 97.35%, Val Loss: 0.1748, Val Acc: 94.53%
Epoch [40/500], LR: 0.010000, Train Loss: 0.0787, Train Acc: 97.47%, Val Loss: 0.1427, Val Acc: 95.64%
Epoch [41/500], LR: 0.010000, Train Loss: 0.0766, Train Acc: 97.59%, Val Loss: 0.1811, Val Acc: 94.50%
Epoch [42/500], LR: 0.010000, Train Loss: 0.0777, Train Acc: 97.52%, Val Loss: 0.1018, Val Acc: 96.76%
Epoch [43/500], LR: 0.010000, Train Loss: 0.0758, Train Acc: 97.53%, Val Loss: 0.1503, Val Acc: 95.53%
Epoch [44/500], LR: 0.010000, Train Loss: 0.0754, Train Acc: 97.62%, Val Loss: 0.1759, Val Acc: 94.41%
Epoch [45/500], LR: 0.010000, Train Loss: 0.0767, Train Acc: 97.52%, Val Loss: 0.1564, Val Acc: 95.42%
Epoch [46/500], LR: 0.010000, Train Loss: 0.0758, Train Acc: 97.56%, Val Loss: 0.0992, Val Acc: 96.89%
Epoch [47/500], LR: 0.010000, Train Loss: 0.0751, Train Acc: 97.51%, Val Loss: 0.1142, Val Acc: 96.50%
Epoch [48/500], LR: 0.010000, Train Loss: 0.0747, Train Acc: 97.53%, Val Loss: 0.1028, Val Acc: 96.87%
Epoch [49/500], LR: 0.010000, Train Loss: 0.0776, Train Acc: 97.51%, Val Loss: 0.5693, Val Acc: 82.79%
Epoch [50/500], LR: 0.010000, Train Loss: 0.0738, Train Acc: 97.69%, Val Loss: 0.1512, Val Acc: 95.21%
Epoch [51/500], LR: 0.010000, Train Loss: 0.0742, Train Acc: 97.59%, Val Loss: 0.1086, Val Acc: 96.57%
Epoch [52/500], LR: 0.010000, Train Loss: 0.0722, Train Acc: 97.65%, Val Loss: 0.1330, Val Acc: 95.98%
Epoch [53/500], LR: 0.010000, Train Loss: 0.0736, Train Acc: 97.62%, Val Loss: 0.0945, Val Acc: 97.12%
Epoch [54/500], LR: 0.010000, Train Loss: 0.0713, Train Acc: 97.66%, Val Loss: 0.1168, Val Acc: 96.33%
