Training 2c3f with weight bit width 1 and activation bit width 2 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 1.1348, Train Acc: 62.96%, Val Loss: 1.0247, Val Acc: 65.01%
Epoch [2/500], LR: 0.010000, Train Loss: 0.5638, Train Acc: 81.44%, Val Loss: 0.5342, Val Acc: 82.83%
Epoch [3/500], LR: 0.010000, Train Loss: 0.4276, Train Acc: 86.03%, Val Loss: 0.5456, Val Acc: 81.82%
Epoch [4/500], LR: 0.010000, Train Loss: 0.3638, Train Acc: 88.26%, Val Loss: 0.5217, Val Acc: 83.10%
Epoch [5/500], LR: 0.010000, Train Loss: 0.3256, Train Acc: 89.48%, Val Loss: 0.6686, Val Acc: 78.28%
Epoch [6/500], LR: 0.010000, Train Loss: 0.3002, Train Acc: 90.29%, Val Loss: 0.3108, Val Acc: 90.06%
Epoch [7/500], LR: 0.010000, Train Loss: 0.2820, Train Acc: 91.06%, Val Loss: 0.3315, Val Acc: 89.33%
Epoch [8/500], LR: 0.010000, Train Loss: 0.2653, Train Acc: 91.54%, Val Loss: 0.4454, Val Acc: 85.66%
Epoch [9/500], LR: 0.010000, Train Loss: 0.2532, Train Acc: 91.93%, Val Loss: 0.2657, Val Acc: 91.72%
Epoch [10/500], LR: 0.010000, Train Loss: 0.2375, Train Acc: 92.47%, Val Loss: 0.3486, Val Acc: 88.83%
Epoch [11/500], LR: 0.010000, Train Loss: 0.2307, Train Acc: 92.61%, Val Loss: 0.2741, Val Acc: 90.98%
Epoch [12/500], LR: 0.010000, Train Loss: 0.2165, Train Acc: 93.13%, Val Loss: 0.2006, Val Acc: 93.82%
Epoch [13/500], LR: 0.010000, Train Loss: 0.2102, Train Acc: 93.50%, Val Loss: 2.3510, Val Acc: 43.17%
Epoch [14/500], LR: 0.010000, Train Loss: 0.2054, Train Acc: 93.56%, Val Loss: 0.2194, Val Acc: 93.01%
Epoch [15/500], LR: 0.010000, Train Loss: 0.2032, Train Acc: 93.53%, Val Loss: 0.2382, Val Acc: 92.20%
Epoch [16/500], LR: 0.010000, Train Loss: 0.2002, Train Acc: 93.83%, Val Loss: 0.3024, Val Acc: 90.53%
Epoch [17/500], LR: 0.010000, Train Loss: 0.1961, Train Acc: 93.81%, Val Loss: 0.3901, Val Acc: 87.07%
Epoch [18/500], LR: 0.010000, Train Loss: 0.1968, Train Acc: 93.85%, Val Loss: 0.1924, Val Acc: 93.98%
Epoch [19/500], LR: 0.010000, Train Loss: 0.1901, Train Acc: 94.03%, Val Loss: 0.2295, Val Acc: 92.88%
Epoch [20/500], LR: 0.010000, Train Loss: 0.1891, Train Acc: 94.02%, Val Loss: 0.3883, Val Acc: 87.35%
Epoch [21/500], LR: 0.010000, Train Loss: 0.1891, Train Acc: 94.10%, Val Loss: 0.1857, Val Acc: 94.20%
Epoch [22/500], LR: 0.010000, Train Loss: 0.1875, Train Acc: 94.15%, Val Loss: 0.3830, Val Acc: 87.97%
Epoch [23/500], LR: 0.010000, Train Loss: 0.1823, Train Acc: 94.25%, Val Loss: 0.2898, Val Acc: 90.69%
Epoch [24/500], LR: 0.010000, Train Loss: 0.1817, Train Acc: 94.23%, Val Loss: 0.2126, Val Acc: 93.33%
Epoch [25/500], LR: 0.010000, Train Loss: 0.1859, Train Acc: 94.20%, Val Loss: 0.2709, Val Acc: 91.43%
Epoch [26/500], LR: 0.010000, Train Loss: 0.1788, Train Acc: 94.39%, Val Loss: 0.2269, Val Acc: 92.83%
Epoch [27/500], LR: 0.010000, Train Loss: 0.1817, Train Acc: 94.31%, Val Loss: 0.9199, Val Acc: 69.58%
Epoch [28/500], LR: 0.010000, Train Loss: 0.1786, Train Acc: 94.35%, Val Loss: 0.2705, Val Acc: 91.36%
Epoch [29/500], LR: 0.010000, Train Loss: 0.1722, Train Acc: 94.67%, Val Loss: 0.1960, Val Acc: 93.61%
Epoch [30/500], LR: 0.010000, Train Loss: 0.1718, Train Acc: 94.57%, Val Loss: 0.2229, Val Acc: 93.18%
Epoch [31/500], LR: 0.010000, Train Loss: 0.1801, Train Acc: 94.35%, Val Loss: 0.3780, Val Acc: 88.46%
Epoch [32/500], LR: 0.010000, Train Loss: 0.1719, Train Acc: 94.67%, Val Loss: 0.2423, Val Acc: 92.70%
Epoch [33/500], LR: 0.010000, Train Loss: 0.1791, Train Acc: 94.34%, Val Loss: 0.1980, Val Acc: 93.76%
Epoch [34/500], LR: 0.010000, Train Loss: 0.1708, Train Acc: 94.63%, Val Loss: 0.1870, Val Acc: 93.95%
Epoch [35/500], LR: 0.010000, Train Loss: 0.1686, Train Acc: 94.65%, Val Loss: 0.2648, Val Acc: 91.54%
Epoch [36/500], LR: 0.010000, Train Loss: 0.1713, Train Acc: 94.55%, Val Loss: 0.3029, Val Acc: 89.75%
Epoch [37/500], LR: 0.010000, Train Loss: 0.1755, Train Acc: 94.52%, Val Loss: 0.2634, Val Acc: 91.47%
Epoch [38/500], LR: 0.010000, Train Loss: 0.1726, Train Acc: 94.50%, Val Loss: 0.2405, Val Acc: 92.43%
Epoch [39/500], LR: 0.010000, Train Loss: 0.1750, Train Acc: 94.40%, Val Loss: 0.2468, Val Acc: 92.03%
Epoch [40/500], LR: 0.010000, Train Loss: 0.1729, Train Acc: 94.54%, Val Loss: 0.2088, Val Acc: 93.17%
Epoch [41/500], LR: 0.010000, Train Loss: 0.1682, Train Acc: 94.80%, Val Loss: 0.2200, Val Acc: 93.12%
Epoch [42/500], LR: 0.010000, Train Loss: 0.1630, Train Acc: 94.82%, Val Loss: 0.3589, Val Acc: 87.93%
Epoch [43/500], LR: 0.010000, Train Loss: 0.1709, Train Acc: 94.59%, Val Loss: 0.1811, Val Acc: 94.16%
Epoch [44/500], LR: 0.010000, Train Loss: 0.1678, Train Acc: 94.78%, Val Loss: 0.2042, Val Acc: 93.54%
Epoch [45/500], LR: 0.010000, Train Loss: 0.1694, Train Acc: 94.75%, Val Loss: 0.3753, Val Acc: 87.83%
Epoch [46/500], LR: 0.010000, Train Loss: 0.1718, Train Acc: 94.59%, Val Loss: 0.2574, Val Acc: 91.69%
Epoch [47/500], LR: 0.010000, Train Loss: 0.1630, Train Acc: 94.88%, Val Loss: 0.2270, Val Acc: 92.91%
Epoch [48/500], LR: 0.010000, Train Loss: 0.1677, Train Acc: 94.71%, Val Loss: 0.2227, Val Acc: 92.96%
Epoch [49/500], LR: 0.010000, Train Loss: 0.1616, Train Acc: 94.89%, Val Loss: 0.6078, Val Acc: 80.59%
Epoch [50/500], LR: 0.010000, Train Loss: 0.1699, Train Acc: 94.54%, Val Loss: 0.4188, Val Acc: 86.91%
Epoch [51/500], LR: 0.010000, Train Loss: 0.1709, Train Acc: 94.66%, Val Loss: 0.2041, Val Acc: 93.48%
Epoch [52/500], LR: 0.010000, Train Loss: 0.1602, Train Acc: 95.00%, Val Loss: 0.1808, Val Acc: 94.00%
Epoch [53/500], LR: 0.010000, Train Loss: 0.1654, Train Acc: 94.83%, Val Loss: 0.2428, Val Acc: 92.66%
Epoch [54/500], LR: 0.010000, Train Loss: 0.1614, Train Acc: 94.93%, Val Loss: 0.2759, Val Acc: 91.11%
Epoch [55/500], LR: 0.010000, Train Loss: 0.1650, Train Acc: 94.81%, Val Loss: 0.1581, Val Acc: 95.31%
Epoch [56/500], LR: 0.010000, Train Loss: 0.1613, Train Acc: 94.91%, Val Loss: 0.2372, Val Acc: 92.42%
Epoch [57/500], LR: 0.010000, Train Loss: 0.1640, Train Acc: 94.84%, Val Loss: 0.2024, Val Acc: 93.72%
