Training 2c3f_relu with weight bit width 1 and activation bit width 2 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 1.1249, Train Acc: 62.96%, Val Loss: 0.7316, Val Acc: 75.05%
Epoch [2/500], LR: 0.010000, Train Loss: 0.5143, Train Acc: 83.04%, Val Loss: 0.4020, Val Acc: 86.79%
Epoch [3/500], LR: 0.010000, Train Loss: 0.3019, Train Acc: 90.29%, Val Loss: 0.2574, Val Acc: 91.56%
Epoch [4/500], LR: 0.010000, Train Loss: 0.2376, Train Acc: 92.49%, Val Loss: 0.3246, Val Acc: 89.33%
Epoch [5/500], LR: 0.010000, Train Loss: 0.2023, Train Acc: 93.54%, Val Loss: 0.3229, Val Acc: 89.51%
Epoch [6/500], LR: 0.010000, Train Loss: 0.1876, Train Acc: 94.21%, Val Loss: 0.2513, Val Acc: 92.04%
Epoch [7/500], LR: 0.010000, Train Loss: 0.1711, Train Acc: 94.58%, Val Loss: 0.2423, Val Acc: 92.15%
Epoch [8/500], LR: 0.010000, Train Loss: 0.1637, Train Acc: 94.79%, Val Loss: 0.1837, Val Acc: 94.30%
Epoch [9/500], LR: 0.010000, Train Loss: 0.1528, Train Acc: 95.22%, Val Loss: 0.2073, Val Acc: 93.47%
Epoch [10/500], LR: 0.010000, Train Loss: 0.1569, Train Acc: 95.09%, Val Loss: 0.1934, Val Acc: 93.93%
Epoch [11/500], LR: 0.010000, Train Loss: 0.1514, Train Acc: 95.16%, Val Loss: 0.1453, Val Acc: 95.34%
Epoch [12/500], LR: 0.010000, Train Loss: 0.1419, Train Acc: 95.59%, Val Loss: 0.2072, Val Acc: 93.37%
Epoch [13/500], LR: 0.010000, Train Loss: 0.1453, Train Acc: 95.42%, Val Loss: 0.1542, Val Acc: 95.21%
Epoch [14/500], LR: 0.010000, Train Loss: 0.1308, Train Acc: 95.88%, Val Loss: 0.1751, Val Acc: 94.84%
Epoch [15/500], LR: 0.010000, Train Loss: 0.1336, Train Acc: 95.77%, Val Loss: 0.1908, Val Acc: 94.06%
Epoch [16/500], LR: 0.010000, Train Loss: 0.1336, Train Acc: 95.87%, Val Loss: 0.7917, Val Acc: 76.81%
Epoch [17/500], LR: 0.010000, Train Loss: 0.1361, Train Acc: 95.72%, Val Loss: 0.2282, Val Acc: 93.03%
Epoch [18/500], LR: 0.010000, Train Loss: 0.1288, Train Acc: 95.99%, Val Loss: 0.1372, Val Acc: 95.71%
Epoch [19/500], LR: 0.010000, Train Loss: 0.1314, Train Acc: 95.87%, Val Loss: 0.1528, Val Acc: 95.22%
Epoch [20/500], LR: 0.010000, Train Loss: 0.1312, Train Acc: 95.85%, Val Loss: 0.6084, Val Acc: 80.72%
Epoch [21/500], LR: 0.010000, Train Loss: 0.1296, Train Acc: 95.91%, Val Loss: 0.1774, Val Acc: 94.26%
Epoch [22/500], LR: 0.010000, Train Loss: 0.1280, Train Acc: 96.00%, Val Loss: 0.1618, Val Acc: 95.03%
Epoch [23/500], LR: 0.010000, Train Loss: 0.1267, Train Acc: 95.95%, Val Loss: 0.1439, Val Acc: 95.37%
Epoch [24/500], LR: 0.010000, Train Loss: 0.1257, Train Acc: 96.04%, Val Loss: 0.1503, Val Acc: 95.26%
Epoch [25/500], LR: 0.010000, Train Loss: 0.1269, Train Acc: 95.98%, Val Loss: 0.3402, Val Acc: 89.20%
Epoch [26/500], LR: 0.010000, Train Loss: 0.1209, Train Acc: 96.14%, Val Loss: 0.1330, Val Acc: 95.83%
Epoch [27/500], LR: 0.010000, Train Loss: 0.1254, Train Acc: 96.15%, Val Loss: 0.4824, Val Acc: 85.11%
Epoch [28/500], LR: 0.010000, Train Loss: 0.1190, Train Acc: 96.22%, Val Loss: 0.1564, Val Acc: 95.12%
Epoch [29/500], LR: 0.010000, Train Loss: 0.1241, Train Acc: 96.20%, Val Loss: 0.1295, Val Acc: 95.89%
Epoch [30/500], LR: 0.010000, Train Loss: 0.1135, Train Acc: 96.41%, Val Loss: 0.1959, Val Acc: 93.71%
Epoch [31/500], LR: 0.010000, Train Loss: 0.1194, Train Acc: 96.18%, Val Loss: 0.2711, Val Acc: 91.28%
Epoch [32/500], LR: 0.010000, Train Loss: 0.1168, Train Acc: 96.27%, Val Loss: 0.1756, Val Acc: 94.19%
Epoch [33/500], LR: 0.010000, Train Loss: 0.1217, Train Acc: 96.15%, Val Loss: 0.2994, Val Acc: 90.30%
Epoch [34/500], LR: 0.010000, Train Loss: 0.1165, Train Acc: 96.27%, Val Loss: 0.1770, Val Acc: 94.33%
Epoch [35/500], LR: 0.010000, Train Loss: 0.1204, Train Acc: 96.14%, Val Loss: 0.1502, Val Acc: 95.30%
Epoch [36/500], LR: 0.010000, Train Loss: 0.1156, Train Acc: 96.32%, Val Loss: 0.1438, Val Acc: 95.58%
Epoch [37/500], LR: 0.010000, Train Loss: 0.1127, Train Acc: 96.49%, Val Loss: 0.1669, Val Acc: 94.68%
Epoch [38/500], LR: 0.010000, Train Loss: 0.1163, Train Acc: 96.24%, Val Loss: 0.1611, Val Acc: 94.88%
Epoch [39/500], LR: 0.010000, Train Loss: 0.1138, Train Acc: 96.39%, Val Loss: 0.1229, Val Acc: 96.08%
Epoch [40/500], LR: 0.010000, Train Loss: 0.1163, Train Acc: 96.35%, Val Loss: 0.1281, Val Acc: 95.83%
Epoch [41/500], LR: 0.010000, Train Loss: 0.1119, Train Acc: 96.48%, Val Loss: 0.1209, Val Acc: 96.08%
Epoch [42/500], LR: 0.010000, Train Loss: 0.1132, Train Acc: 96.42%, Val Loss: 0.2889, Val Acc: 90.80%
Epoch [43/500], LR: 0.010000, Train Loss: 0.1174, Train Acc: 96.25%, Val Loss: 0.1564, Val Acc: 95.11%
Epoch [44/500], LR: 0.010000, Train Loss: 0.1130, Train Acc: 96.48%, Val Loss: 0.1421, Val Acc: 95.23%
Epoch [45/500], LR: 0.010000, Train Loss: 0.1124, Train Acc: 96.50%, Val Loss: 0.1259, Val Acc: 96.10%
Epoch [46/500], LR: 0.010000, Train Loss: 0.1085, Train Acc: 96.61%, Val Loss: 0.4408, Val Acc: 86.61%
Epoch [47/500], LR: 0.010000, Train Loss: 0.1138, Train Acc: 96.46%, Val Loss: 0.1718, Val Acc: 94.73%
Epoch [48/500], LR: 0.010000, Train Loss: 0.1139, Train Acc: 96.37%, Val Loss: 0.1550, Val Acc: 94.89%
Epoch [49/500], LR: 0.010000, Train Loss: 0.1092, Train Acc: 96.60%, Val Loss: 0.2025, Val Acc: 93.32%
Epoch [50/500], LR: 0.010000, Train Loss: 0.1134, Train Acc: 96.53%, Val Loss: 0.3104, Val Acc: 89.78%
Epoch [51/500], LR: 0.010000, Train Loss: 0.1093, Train Acc: 96.43%, Val Loss: 0.1879, Val Acc: 94.11%
Epoch [52/500], LR: 0.010000, Train Loss: 0.1032, Train Acc: 96.75%, Val Loss: 0.2241, Val Acc: 92.62%
Epoch [53/500], LR: 0.010000, Train Loss: 0.1072, Train Acc: 96.53%, Val Loss: 0.1417, Val Acc: 95.58%
Epoch [54/500], LR: 0.010000, Train Loss: 0.1091, Train Acc: 96.55%, Val Loss: 0.1512, Val Acc: 95.22%
Epoch [55/500], LR: 0.010000, Train Loss: 0.1068, Train Acc: 96.64%, Val Loss: 0.1338, Val Acc: 95.88%
Epoch [56/500], LR: 0.010000, Train Loss: 0.1101, Train Acc: 96.47%, Val Loss: 0.2396, Val Acc: 91.82%
Epoch [57/500], LR: 0.010000, Train Loss: 0.1131, Train Acc: 96.36%, Val Loss: 0.1476, Val Acc: 95.25%
Epoch [58/500], LR: 0.010000, Train Loss: 0.1066, Train Acc: 96.73%, Val Loss: 0.1184, Val Acc: 96.26%
Epoch [59/500], LR: 0.010000, Train Loss: 0.1134, Train Acc: 96.44%, Val Loss: 0.1459, Val Acc: 95.34%
Epoch [60/500], LR: 0.010000, Train Loss: 0.1102, Train Acc: 96.53%, Val Loss: 0.1112, Val Acc: 96.41%
Epoch [61/500], LR: 0.010000, Train Loss: 0.1116, Train Acc: 96.48%, Val Loss: 0.1204, Val Acc: 96.04%
Epoch [62/500], LR: 0.010000, Train Loss: 0.1091, Train Acc: 96.53%, Val Loss: 0.1504, Val Acc: 95.22%
Epoch [63/500], LR: 0.010000, Train Loss: 0.1076, Train Acc: 96.58%, Val Loss: 0.2113, Val Acc: 92.98%
Epoch [64/500], LR: 0.010000, Train Loss: 0.1106, Train Acc: 96.52%, Val Loss: 0.1761, Val Acc: 94.38%
Epoch [65/500], LR: 0.010000, Train Loss: 0.1009, Train Acc: 96.78%, Val Loss: 0.1687, Val Acc: 94.78%
Epoch [66/500], LR: 0.010000, Train Loss: 0.1063, Train Acc: 96.77%, Val Loss: 0.1284, Val Acc: 95.72%
Epoch [67/500], LR: 0.010000, Train Loss: 0.1059, Train Acc: 96.65%, Val Loss: 0.1521, Val Acc: 94.97%
Epoch [68/500], LR: 0.010000, Train Loss: 0.1098, Train Acc: 96.53%, Val Loss: 0.1458, Val Acc: 95.34%
Epoch [69/500], LR: 0.010000, Train Loss: 0.1112, Train Acc: 96.50%, Val Loss: 0.1193, Val Acc: 96.42%
Epoch [70/500], LR: 0.010000, Train Loss: 0.1056, Train Acc: 96.66%, Val Loss: 0.1118, Val Acc: 96.53%
Epoch [71/500], LR: 0.010000, Train Loss: 0.1063, Train Acc: 96.65%, Val Loss: 0.1310, Val Acc: 95.85%
Epoch [72/500], LR: 0.010000, Train Loss: 0.1075, Train Acc: 96.55%, Val Loss: 0.1204, Val Acc: 95.98%
Epoch [73/500], LR: 0.010000, Train Loss: 0.1118, Train Acc: 96.49%, Val Loss: 0.1411, Val Acc: 95.58%
Epoch [74/500], LR: 0.010000, Train Loss: 0.1055, Train Acc: 96.62%, Val Loss: 0.1219, Val Acc: 95.92%
Epoch [75/500], LR: 0.010000, Train Loss: 0.1072, Train Acc: 96.54%, Val Loss: 0.1590, Val Acc: 94.89%
Epoch [76/500], LR: 0.010000, Train Loss: 0.1057, Train Acc: 96.57%, Val Loss: 0.1108, Val Acc: 96.55%
Epoch [77/500], LR: 0.010000, Train Loss: 0.1070, Train Acc: 96.60%, Val Loss: 0.1588, Val Acc: 94.96%
Epoch [78/500], LR: 0.010000, Train Loss: 0.1077, Train Acc: 96.61%, Val Loss: 0.1632, Val Acc: 94.61%
Epoch [79/500], LR: 0.010000, Train Loss: 0.1028, Train Acc: 96.76%, Val Loss: 0.5152, Val Acc: 84.41%
Epoch [80/500], LR: 0.010000, Train Loss: 0.1057, Train Acc: 96.68%, Val Loss: 0.1495, Val Acc: 95.08%
Epoch [81/500], LR: 0.010000, Train Loss: 0.1061, Train Acc: 96.66%, Val Loss: 0.1131, Val Acc: 96.46%
Epoch [82/500], LR: 0.010000, Train Loss: 0.1064, Train Acc: 96.62%, Val Loss: 0.1663, Val Acc: 94.59%
Epoch [83/500], LR: 0.010000, Train Loss: 0.1064, Train Acc: 96.67%, Val Loss: 0.1402, Val Acc: 95.38%
Epoch [84/500], LR: 0.010000, Train Loss: 0.1060, Train Acc: 96.64%, Val Loss: 0.1295, Val Acc: 96.05%
Epoch [85/500], LR: 0.010000, Train Loss: 0.1043, Train Acc: 96.69%, Val Loss: 0.1466, Val Acc: 95.33%
