Training lfc with weight bit width 4 and activation bit width 2 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 1.2573, Train Acc: 58.94%, Val Loss: 0.8944, Val Acc: 70.92%
Epoch [2/500], LR: 0.010000, Train Loss: 0.8692, Train Acc: 71.17%, Val Loss: 0.5482, Val Acc: 81.58%
Epoch [3/500], LR: 0.010000, Train Loss: 0.6480, Train Acc: 78.16%, Val Loss: 0.4145, Val Acc: 86.19%
Epoch [4/500], LR: 0.010000, Train Loss: 0.5387, Train Acc: 81.90%, Val Loss: 0.3426, Val Acc: 88.55%
Epoch [5/500], LR: 0.010000, Train Loss: 0.4838, Train Acc: 83.95%, Val Loss: 0.3172, Val Acc: 89.41%
Epoch [6/500], LR: 0.010000, Train Loss: 0.4411, Train Acc: 85.50%, Val Loss: 0.2829, Val Acc: 90.55%
Epoch [7/500], LR: 0.010000, Train Loss: 0.4146, Train Acc: 86.35%, Val Loss: 0.2487, Val Acc: 91.88%
Epoch [8/500], LR: 0.010000, Train Loss: 0.3837, Train Acc: 87.55%, Val Loss: 0.2349, Val Acc: 92.38%
Epoch [9/500], LR: 0.010000, Train Loss: 0.3758, Train Acc: 87.66%, Val Loss: 0.2257, Val Acc: 92.53%
Epoch [10/500], LR: 0.010000, Train Loss: 0.3615, Train Acc: 88.24%, Val Loss: 0.2105, Val Acc: 93.13%
Epoch [11/500], LR: 0.010000, Train Loss: 0.3536, Train Acc: 88.36%, Val Loss: 0.2106, Val Acc: 93.38%
Epoch [12/500], LR: 0.010000, Train Loss: 0.3369, Train Acc: 88.94%, Val Loss: 0.2026, Val Acc: 93.42%
Epoch [13/500], LR: 0.010000, Train Loss: 0.3214, Train Acc: 89.36%, Val Loss: 0.1910, Val Acc: 93.87%
Epoch [14/500], LR: 0.010000, Train Loss: 0.3159, Train Acc: 89.70%, Val Loss: 0.1894, Val Acc: 93.87%
Epoch [15/500], LR: 0.010000, Train Loss: 0.3124, Train Acc: 89.84%, Val Loss: 0.1841, Val Acc: 94.13%
Epoch [16/500], LR: 0.010000, Train Loss: 0.3048, Train Acc: 90.09%, Val Loss: 0.1816, Val Acc: 94.12%
Epoch [17/500], LR: 0.010000, Train Loss: 0.3044, Train Acc: 90.03%, Val Loss: 0.1714, Val Acc: 94.71%
Epoch [18/500], LR: 0.010000, Train Loss: 0.2976, Train Acc: 90.29%, Val Loss: 0.1751, Val Acc: 94.28%
Epoch [19/500], LR: 0.010000, Train Loss: 0.2914, Train Acc: 90.51%, Val Loss: 0.1663, Val Acc: 94.66%
Epoch [20/500], LR: 0.010000, Train Loss: 0.2837, Train Acc: 90.80%, Val Loss: 0.1669, Val Acc: 94.62%
